id	replicate	C5q31	C6p21	BRCA1Ex1A	BRCA1Ex1B	BRCA1Ex2	BRCA1Ex3	BRCA1Ex5	C15q21	BRCA1Ex6	BRCA1Ex7	BRCA1Ex8	BRCA1Ex9	BRCA1Ex10	C2q14	BRCA1Ex11-1	BRCA1Ex11-2	BRCA1Ex12	BRCA1Ex13	BRCA1Ex14	C12p12	BRCA1Ex15	BRCA1Ex16	BRCA1Ex17	BRCA1Ex18	BRCA1Ex19	C4q26	BRCA1Ex20	BRCA1Ex21	BRCA1Ex22	BRCA1Ex23	BRCA1Ex24	C11p13	C12p13	C3p21
case01	1	2191	1825	2712	3199	2647	1240	1883	1204	1375	920	1173	1421	1474	1107	897	928	1083	868	910	921	870	668	614	977	1016	718	859	619	543	581	535	654	531	681
case10	1	1593	1246	2242	2668	2288	1075	1399	805	958	619	882	1126	1136	993	655	704	903	567	713	669	666	572	477	802	872	537	693	527	469	466	435	542	491	557
test2	1	2763	2331	3111	3400	3142	1552	2291	1540	1572	1022	1392	1654	1621	1325	1025	1140	1327	1013	1096	1164	1041	828	747	1153	1224	861	954	750	755	712	684	826	616	859
case03	1	2551	1986	3139	3471	3089	1523	2226	1430	1535	1084	1413	1710	1678	1382	1030	1086	1332	964	1154	1158	1058	839	751	1204	1319	870	1062	741	749	741	698	913	681	894
case04	1	1967	1645	2868	3488	2690	1295	1852	1186	1352	920	1054	1416	1300	976	810	664	1016	923	796	782	701	522	415	857	910	557	655	464	460	470	421	538	362	495
case05	1	2324	1854	2984	3332	2842	1367	1960	1234	1547	981	1264	1524	1544	1232	978	969	1204	1431	1026	1089	929	759	699	1063	1142	789	882	622	687	660	578	759	618	788
case06	1	1967	1645	2868	3488	2690	1295	1852	1186	1352	920	1054	1416	1300	976	810	664	1016	923	796	782	701	522	415	857	910	557	655	464	460	470	421	538	362	495
case07	1	1803	1555	1895	2298	2194	819	1334	976	970	635	822	1024	893	683	581	596	666	556	590	685	646	392	460	686	637	494	490	460	437	341	299	421	273	372
case08	1	1803	1555	1895	2298	2194	819	1334	976	970	635	822	1024	893	683	581	596	666	556	590	685	646	392	460	686	637	494	490	460	437	341	299	421	273	372
case09	1	1803	1555	1895	2298	2194	819	1334	976	970	635	822	1024	893	683	581	596	666	556	590	685	646	392	460	686	637	494	490	460	437	341	299	421	273	372
